Time alpha beta abs_alpha2 abs_beta2
0 (1,0) (0,0) 1 0
2.96309e-08 (-0.505883,0.696329) (0.411861,-0.299235) 0.740792 0.259171
2.98094e-08 (-0.394307,0.773923) (0.4415,-0.224955) 0.754435 0.245527
2.99879e-08 (-0.270757,0.833378) (0.458221,-0.148885) 0.767828 0.232134
3.01664e-08 (-0.138222,0.872841) (0.462218,-0.0732082) 0.780957 0.219005
3.03449e-08 (2.12907e-05,0.890959) (0.454042,-4.22856e-14) 0.793808 0.206154
3.05234e-08 (0.140495,0.886922) (0.434574,0.0688298) 0.806369 0.193592
3.07019e-08 (0.279612,0.860491) (0.404991,0.131589) 0.818628 0.181333
3.08804e-08 (0.413765,0.812017) (0.36671,0.186848) 0.830572 0.169389
3.10589e-08 (0.539431,0.742431) (0.321344,0.23347) 0.84219 0.15777
3.12374e-08 (0.653263,0.653237) (0.270638,0.270638) 0.853471 0.14649
3.14159e-08 (0.752179,0.546469) (0.216412,0.297865) 0.864402 0.135558
3.15944e-08 (0.833456,0.424648) (0.160501,0.315) 0.874974 0.124986
3.17729e-08 (0.894795,0.29072) (0.104694,0.322215) 0.885176 0.114784
3.19514e-08 (0.934398,0.147979) (0.0506813,0.319989) 0.894998 0.104962
3.21299e-08 (0.951015,-1.44931e-05) (4.40342e-14,0.309078) 0.90443 0.0955293
3.23084e-08 (0.943983,-0.149526) (-0.0460078,0.290482) 0.913463 0.0864963
3.24869e-08 (0.913252,-0.296747) (-0.0862325,0.265396) 0.922087 0.0778713
3.26654e-08 (0.859387,-0.437893) (-0.119825,0.23517) 0.930296 0.0696629
3.28439e-08 (0.783562,-0.569306) (-0.146215,0.201247) 0.938079 0.0618791
3.30224e-08 (0.687535,-0.687551) (-0.165118,0.165118) 0.94543 0.0545276
3.32009e-08 (0.5736,-0.78951) (-0.176536,0.128261) 0.952342 0.0476157
3.33794e-08 (0.444533,-0.872466) (-0.180745,0.0920944) 0.958807 0.0411502
3.35579e-08 (0.303524,-0.93418) (-0.178276,0.0579253) 0.96482 0.0351376
3.37364e-08 (0.154092,-0.972949) (-0.169881,0.0269066) 0.970374 0.0295836
3.39149e-08 (-7.33876e-06,-0.987655) (-0.156505,3.85941e-14) 0.975463 0.0244939
3.40934e-08 (-0.154875,-0.977802) (-0.139237,-0.022053) 0.980083 0.0198733
3.42719e-08 (-0.306576,-0.943526) (-0.119268,-0.0387525) 0.98423 0.0157266
3.44504e-08 (-0.45124,-0.885597) (-0.0978393,-0.0498516) 0.987899 0.0120577
3.46289e-08 (-0.585163,-0.8054) (-0.0761952,-0.055359) 0.991086 0.00887033
3.48074e-08 (-0.70491,-0.704905) (-0.055532,-0.055532) 0.993788 0.0061676
3.49859e-08 (-0.8074,-0.586607) (-0.0369519,-0.0508599) 0.996003 0.00395217
3.51644e-08 (-0.889995,-0.453473) (-0.0214206,-0.0420404) 0.997729 0.00222624
3.53429e-08 (-0.950564,-0.308855) (-0.00973037,-0.029947) 0.998964 0.000991502
3.55214e-08 (-0.987543,-0.156411) (-0.00246939,-0.0155911) 0.999706 0.000249181
3.56999e-08 (-0.999977,3.69993e-09) (-2.55902e-14,-7.8903e-05) 0.999955 6.22568e-09
3.58784e-08 (-0.987545,0.156411) (-0.00244471,0.0154353) 0.99971 0.000244224
3.60569e-08 (-0.950568,0.308857) (-0.00968162,0.029797) 0.998973 0.000981593
3.62354e-08 (-0.890001,0.453476) (-0.0213491,0.0418999) 0.997743 0.00221139
3.64139e-08 (-0.807408,0.586612) (-0.0368593,0.0507324) 0.996021 0.00393239
3.65924e-08 (-0.704918,0.704913) (-0.0554207,0.0554207) 0.993811 0.0061429
3.67709e-08 (-0.585171,0.805411) (-0.076068,0.0552666) 0.991113 0.00884074
3.69494e-08 (-0.451247,0.885611) (-0.0976994,0.0497803) 0.98793 0.0120232
3.71279e-08 (-0.306582,0.943543) (-0.119119,0.038704) 0.984266 0.0156873
3.73064e-08 (-0.154878,0.977822) (-0.139083,0.0220285) 0.980123 0.0198292
3.74849e-08 (-7.33143e-06,0.987678) (-0.156349,-5.47132e-15) 0.975507 0.024445
3.76634e-08 (0.154096,0.972973) (-0.169727,-0.0268822) 0.970422 0.02953
3.78419e-08 (0.303533,0.934206) (-0.178128,-0.0578772) 0.964873 0.0350793
3.80204e-08 (0.444546,0.872492) (-0.180607,-0.0920239) 0.958864 0.0410873
3.81989e-08 (0.573618,0.789535) (-0.176411,-0.12817) 0.952403 0.0475482
3.83774e-08 (0.687559,0.687574) (-0.165008,-0.165008) 0.945496 0.0544556
3.85559e-08 (0.783591,0.569327) (-0.146124,-0.201123) 0.938148 0.0618026
3.87344e-08 (0.85942,0.43791) (-0.119755,-0.235033) 0.930369 0.069582
3.89129e-08 (0.91329,0.29676) (-0.0861853,-0.265251) 0.922164 0.0777861
3.90914e-08 (0.944025,0.149533) (-0.045984,-0.290331) 0.913543 0.0864069
3.92699e-08 (0.95106,1.4486e-05) (-2.12122e-14,-0.308927) 0.904514 0.0954357
3.94484e-08 (0.934444,-0.147986) (0.0506577,-0.31984) 0.895086 0.104864
3.96269e-08 (0.894841,-0.290735) (0.104648,-0.322072) 0.885268 0.114682
3.98054e-08 (0.833501,-0.424671) (0.160433,-0.314867) 0.875069 0.12488
3.99839e-08 (0.752222,-0.5465) (0.216324,-0.297745) 0.864501 0.135448
4.01624e-08 (0.653302,-0.653276) (0.270533,-0.270533) 0.853573 0.146376
4.03409e-08 (0.539465,-0.742478) (0.321225,-0.233384) 0.842295 0.157653
4.05194e-08 (0.413792,-0.812069) (0.36658,-0.186782) 0.83068 0.169268
4.06979e-08 (0.279631,-0.86055) (0.404852,-0.131544) 0.818739 0.181209
4.08764e-08 (0.140505,-0.886984) (0.434431,-0.0688072) 0.806483 0.193465
4.10549e-08 (2.12839e-05,-0.891024) (0.453898,-5.3596e-14) 0.793925 0.206023
4.12334e-08 (-0.138233,-0.872908) (0.462077,0.0731858) 0.781076 0.218871
4.14119e-08 (-0.270779,-0.833444) (0.458087,0.148841) 0.76795 0.231997
4.15904e-08 (-0.39434,-0.773987) (0.441374,0.224891) 0.75456 0.245387
4.17689e-08 (-0.505926,-0.696388) (0.411748,0.299152) 0.740918 0.259029
4.19474e-08 (-0.602909,-0.602943) (0.369397,0.369397) 0.727039 0.272908
4.21259e-08 (-0.683083,-0.49632) (0.314896,0.433418) 0.712936 0.287011
4.23044e-08 (-0.744724,-0.379485) (0.249209,0.4891) 0.698622 0.301324
4.24829e-08 (-0.786621,-0.255616) (0.173665,0.534485) 0.684113 0.315833
4.26614e-08 (-0.808104,-0.128018) (0.0899361,0.567834) 0.669421 0.330524
4.28399e-08 (-0.809051,-2.75578e-05) (9.05248e-14,0.587693) 0.654563 0.345383
4.30184e-08 (-0.789878,0.125076) (-0.093912,0.592937) 0.639552 0.360393
4.31969e-08 (-0.751526,0.244155) (-0.18937,0.582822) 0.624403 0.375542
4.33754e-08 (-0.695416,0.354299) (-0.283812,0.557013) 0.609132 0.390813
4.35539e-08 (-0.623408,0.452896) (-0.374614,0.515613) 0.593752 0.406192
4.37324e-08 (-0.537739,0.537696) (-0.459164,0.459164) 0.578281 0.421664
4.39109e-08 (-0.440955,0.606869) (-0.534939,0.388656) 0.562732 0.437213
4.40894e-08 (-0.335834,0.659042) (-0.599578,0.3055) 0.547121 0.452823
4.42679e-08 (-0.225309,0.693325) (-0.650957,0.211509) 0.531463 0.468481
4.44464e-08 (-0.112379,0.709327) (-0.687256,0.108851) 0.515774 0.484169
4.46249e-08 (-3.31531e-05,0.707156) (-0.707017,1.30659e-13) 0.50007 0.499873
4.48034e-08 (0.10884,0.687401) (-0.709197,-0.112326) 0.484366 0.515577
4.49819e-08 (0.211521,0.651104) (-0.693206,-0.225236) 0.468677 0.531266
4.51604e-08 (0.305535,0.599723) (-0.658937,-0.335745) 0.453019 0.546923
4.53389e-08 (0.388714,0.535079) (-0.606782,-0.440853) 0.437408 0.562535
4.55174e-08 (0.459245,0.459295) (-0.537626,-0.537626) 0.421858 0.578084
4.56959e-08 (0.515714,0.374733) (-0.452845,-0.623288) 0.406385 0.593557
4.58744e-08 (0.557133,0.283914) (-0.354269,-0.695292) 0.391005 0.608937
4.60529e-08 (0.582957,0.189453) (-0.244145,-0.751401) 0.375732 0.62421
4.62314e-08 (0.593085,0.0939735) (-0.125085,-0.789755) 0.360581 0.63936
4.64099e-08 (0.587851,3.7932e-05) (-1.72057e-13,-0.808933) 0.345569 0.654372
4.65884e-08 (0.567998,-0.0899233) (0.127974,-0.807995) 0.330708 0.669232
4.67669e-08 (0.53465,-0.173678) (0.255556,-0.786522) 0.316015 0.683926
4.69454e-08 (0.489263,-0.249248) (0.379411,-0.744637) 0.301503 0.698437
4.71239e-08 (0.433574,-0.314961) (0.496236,-0.68301) 0.287187 0.712753
4.73024e-08 (0.369542,-0.369486) (0.602851,-0.602851) 0.273082 0.726858
4.74809e-08 (0.299284,-0.41186) (0.696291,-0.505885) 0.2592 0.74074
4.76594e-08 (0.225005,-0.441507) (0.773886,-0.394315) 0.245555 0.754384
4.78379e-08 (0.148933,-0.458236) (0.833343,-0.27077) 0.232162 0.767777
4.80164e-08 (0.0732537,-0.462241) (0.872809,-0.138239) 0.219033 0.780906
4.81949e-08 (4.17771e-05,-0.454072) (0.890931,-2.13191e-13) 0.206181 0.793758
4.83734e-08 (-0.068793,-0.434611) (0.886898,0.140471) 0.193619 0.806319
4.85519e-08 (-0.131559,-0.405033) (0.860472,0.279584) 0.18136 0.818579
4.87304e-08 (-0.186824,-0.366757) (0.812002,0.413736) 0.169414 0.830524
4.89089e-08 (-0.233454,-0.321395) (0.742421,0.539401) 0.157795 0.842142
4.90874e-08 (-0.27063,-0.270691) (0.653232,0.653232) 0.146514 0.853423
4.92659e-08 (-0.297866,-0.216466) (0.546468,0.752149) 0.135582 0.864356
4.94444e-08 (-0.31501,-0.160555) (0.424652,0.833426) 0.125009 0.874928
4.96229e-08 (-0.322233,-0.104746) (0.290728,0.894767) 0.114806 0.885131
4.98014e-08 (-0.320015,-0.0507303) (0.14799,0.934373) 0.104983 0.894953
4.99799e-08 (-0.309112,-4.45934e-05) (2.51854e-13,0.950992) 0.0955504 0.904386
5.01584e-08 (-0.290523,0.0459689) (-0.149509,0.943963) 0.0865165 0.91342
5.03369e-08 (-0.265443,0.0862004) (-0.296728,0.913235) 0.0778907 0.922045
5.05154e-08 (-0.235222,0.119801) (-0.437872,0.859373) 0.0696814 0.930254
5.06939e-08 (-0.201302,0.146199) (-0.569284,0.783552) 0.0618967 0.938039
5.08724e-08 (-0.165175,0.165111) (-0.687529,0.687529) 0.0545443 0.945391
5.10509e-08 (-0.128319,0.176538) (-0.789488,0.573596) 0.0476314 0.952304
5.12294e-08 (-0.0921518,0.180757) (-0.872445,0.444533) 0.041165 0.95877
5.14079e-08 (-0.0579804,0.178296) (-0.93416,0.303527) 0.0351513 0.964783
5.15864e-08 (-0.0269579,0.169911) (-0.97293,0.154097) 0.0295963 0.970338
5.17649e-08 (-4.63118e-05,0.156542) (-0.987638,2.86576e-13) 0.0245055 0.975429
5.19434e-08 (0.022013,0.139281) (-0.977787,-0.154866) 0.0198839 0.98005
5.21219e-08 (0.0387199,0.119318) (-0.943512,-0.306566) 0.015736 0.984198
5.23004e-08 (0.0498273,0.0978943) (-0.885585,-0.451228) 0.012066 0.987868
5.24789e-08 (0.0553437,0.0762535) (-0.805391,-0.585151) 0.00887753 0.991056
5.26574e-08 (0.0555261,0.0555922) (-0.704897,-0.704897) 0.00617364 0.993759
5.28359e-08 (0.0508637,0.0370125) (-0.586601,-0.807388) 0.00395704 0.995976
5.30144e-08 (0.0420538,0.02148) (-0.453469,-0.889983) 0.00222991 0.997703
5.31929e-08 (0.0299697,0.00978701) (-0.308853,-0.950552) 0.000993967 0.998938
5.33714e-08 (0.0156226,0.00252184) (-0.15641,-0.987531) 0.000250424 0.999682
5.35499e-08 (0.000118353,4.68899e-05) (-3.15054e-13,-0.999966) 1.62061e-08 0.999932
5.37284e-08 (-0.0153888,0.00248481) (0.15641,-0.987535) 0.000242989 0.999689
5.39069e-08 (-0.0297446,0.0097139) (0.308855,-0.950558) 0.000979104 0.998952
5.40854e-08 (-0.0418431,0.0213727) (0.453473,-0.889992) 0.00220763 0.997724
5.42639e-08 (-0.0506725,0.0368736) (0.58661,-0.807399) 0.00392736 0.996004
5.44424e-08 (-0.0553592,0.0554253) (0.704909,-0.704909) 0.0061366 0.993794
5.46209e-08 (-0.0552052,0.0760628) (0.805408,-0.585163) 0.00883316 0.991097
5.47994e-08 (-0.0497204,0.0976845) (0.885607,-0.451239) 0.0120144 0.987916
5.49779e-08 (-0.0386473,0.119095) (0.943539,-0.306574) 0.0156771 0.984253
5.51564e-08 (-0.0219763,0.13905) (0.977818,-0.154871) 0.0198178 0.980112
5.53349e-08 (4.63134e-05,0.156308) (0.987673,-3.3587e-13) 0.0244322 0.975497
5.55134e-08 (0.0269214,0.16968) (0.972968,0.154103) 0.029516 0.970414
5.56919e-08 (0.0579084,0.178075) (0.9342,0.30354) 0.035064 0.964865
